Agency,Organization,Account Type,Character Code,Object,2015,2016,2017,2018
50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES," 	(11,355,535)"," 	(11,941,627)"," 	(12,603,779)"," 	(13,080,448)"
65 -  PLANNING,65222 - PL COMP NEIGH SPEC AREA PLAN,Expense,51 - SALARIES,51320 - OVERTIME WAGES HOURLY, 	-   , 	-   , 	-   , 	107 
40 -  ENGINEERING,40362 - ENG FAC MGMT DESIGN CONSTRUCT,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS, 	-   , 	-   , 	-   , 	111 
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,53 - SUPPLIES,53330 - PLUMBING SUPPLIES, 	-   , 	-   , 	-   , 	112 
44 -  STREETS,44220 - ST RECYCLING COLLECTION,Expense,54 - PURCHASED SERVICES,54880 - PERMITS AND LICENSES, 	-   , 	-   , 	-   , 	113 
45 -  TRAFFIC ENGINEERING,45200 - TE STLIGHT,Expense,53 - SUPPLIES,53130 - FURNITURE, 	-   , 	-   , 	-   , 	120 
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Expense,52 - BENEFITS,52714 - LICENSES AND CERTIFICATIONS, 	-   , 	-   , 	-   , 	120 
63 -  ECONOMIC DEVELOPMENT,63330 - EDD RE ACQUISITIONS DISPOSALS,Expense,54 - PURCHASED SERVICES,54230 - FACILITY RENTAL, 	-   , 	-   , 	-   , 	122 
40 -  ENGINEERING,40140 - ENG ENV ENG ADMIN,Expense,54 - PURCHASED SERVICES,54510 - RECRUITMENT, 	-   , 	-   , 	-   , 	125 
31 -  POLICE,31120 - CENTRAL,Expense,57 - INTER DEPART CHARGES,57141 - ID CHARGE FROM FLEET SERVICES, 	-   , 	-   , 	-   , 	131 
14 -  COMMON COUNCIL,14100607 - COMMON COUNCIL DIST 7,Expense,54 - PURCHASED SERVICES,54121 - CELLULAR TELEPHONE, 	-   , 	-   , 	-   , 	134 
44 -  STREETS,44330 - ST SNOW PLOW AND SPREAD,Expense,54 - PURCHASED SERVICES,54880 - PERMITS AND LICENSES, 	-   , 	-   , 	-   , 	135 
51 -  PARKS,51246 - PARK MTC CONSERVATION,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING, 	-   , 	-   , 	-   , 	143 
40 -  ENGINEERING,40361 - ENG FAC MGMT GENERAL,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT, 	-   , 	-   , 	-   , 	144 
44 -  STREETS,44101 - ST SOLID WASTE ADMIN,Expense,54 - PURCHASED SERVICES,54350 - LEASE RENTAL OF EQUIPMENT, 	-   , 	-   , 	-   , 	148 
30 -  FIRE,30120 - FIRE MEDICAL PROGRAM GENERAL,Expense,54 - PURCHASED SERVICES,54880 - PERMITS AND LICENSES, 	-   , 	-   , 	-   , 	150 
44 -  STREETS,44221 - ST LEAF COLLECTION,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES, 	-   , 	-   , 	-   , 	150 
50 -  LIBRARY,50400752 - LIB FACILITIES HAWTHORNE,Expense,54 - PURCHASED SERVICES,54245 - PROCESS FEES RECYCLABLES, 	-   , 	-   , 	-   , 	151 
43 -  TRANSPORTATION,43100 - TRANSPORTATION MANAGEMENT,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT, 	-   , 	-   , 	-   , 	155 
40 -  ENGINEERING,40119 - ENG ADMIN STREET MAINTENANCE,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM, 	-   , 	-   , 	-   , 	156 
40 -  ENGINEERING,40110 - ENG ADMIN DIVISION,Expense,51 - SALARIES,51130 - WORKERS COMPENSATION WAGES, 	-   , 	-   , 	-   , 	158 
63 -  ECONOMIC DEVELOPMENT,63220 - EDD OBR VENDING,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS, 	-   , 	-   , 	-   , 	159 
50 -  LIBRARY,50400760 - LIB FAC SUPPORT CENTER BADGER,Expense,53 - SUPPLIES,53450 - INVENTORY, 	-   , 	-   , 	-   , 	165 
31 -  POLICE,31115 - MIDTOWN,Expense,53 - SUPPLIES,53245 - UNIFORM CLOTHING SUPPLIES, 	-   , 	-   , 	-   , 	168 
40 -  ENGINEERING,40119 - ENG ADMIN STREET MAINTENANCE,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS, 	-   , 	-   , 	-   , 	172 
16 -  HUMAN RESOURCES,16200 - HR EMPLOYEE & LABOR RELATIONS,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES, 	-   , 	-   , 	-   , 	174 
30 -  FIRE,30110712 - FIRE GEN FIELD OP STATION 12,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT, 	-   , 	-   , 	-   , 	175 
40 -  ENGINEERING,40131 - ENG SIDEWALKS GENERAL,Expense,54 - PURCHASED SERVICES,54113 - WATER, 	-   , 	-   , 	-   , 	190 
51 -  PARKS,51242 - PARK MTC WEST PARKS,Expense,54 - PURCHASED SERVICES,54220 - PEST CONTROL, 	-   , 	-   , 	-   , 	194 
31 -  POLICE,31156 - PARKING,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT, 	-   , 	-   , 	-   , 	204 
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,53 - SUPPLIES,53320 - ELECTRICAL SUPPLIES, 	-   , 	-   , 	-   , 	204 
11 -  ATTORNEY,11100 - ATTY ORDINANCE ENFORCEMENT,Expense,53 - SUPPLIES,53145 - SOFTWARE LICENSES & SUPPLIES, 	-   , 	-   , 	-   , 	207 
16 -  HUMAN RESOURCES,16100 - HR SERVICES,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT, 	-   , 	-   , 	-   , 	222 
30 -  FIRE,30130 - FIRE APPLICANT RECRUITMENT,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT, 	-   , 	-   , 	-   , 	225 
51 -  PARKS,51147 - PARK RANGERS,Expense,53 - SUPPLIES,53145 - SOFTWARE LICENSES & SUPPLIES, 	-   , 	-   , 	-   , 	229 
60 -  BUILDING INSPECTION,60400 - BI CONSUMER PROTECTION,Expense,53 - SUPPLIES,53235 - SAFETY SUPPLIES, 	-   , 	-   , 	-   , 	232 
43 -  TRANSPORTATION,43100 - TRANSPORTATION MANAGEMENT,Expense,52 - BENEFITS,52711 - TUITION, 	-   , 	-   , 	-   , 	235 
51 -  PARKS,51220 - PARK MTC FORESTRY GENERAL,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT, 	-   , 	-   , 	-   , 	244 
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS, 	-   , 	-   , 	-   , 	244 
31 -  POLICE,31292 - RECORDS GENERAL,Expense,51 - SALARIES,51320 - OVERTIME WAGES HOURLY, 	-   , 	-   , 	-   , 	261 
44 -  STREETS,44221 - ST LEAF COLLECTION,Expense,54 - PURCHASED SERVICES,54115 - STORMWATER, 	-   , 	-   , 	-   , 	269 
31 -  POLICE,31299650 - MIDTOWN PD SUPPORT,Expense,54 - PURCHASED SERVICES,54120 - TELEPHONE, 	-   , 	-   , 	-   , 	274 
31 -  POLICE,31125 - EAST,Expense,54 - PURCHASED SERVICES,54655 - PRINTING SERVICES, 	-   , 	-   , 	-   , 	278 
51 -  PARKS,51230 - PARK MTC FACILITY MAINTENANCE,Expense,53 - SUPPLIES,53130 - FURNITURE, 	-   , 	-   , 	-   , 	280 
51 -  PARKS,51230 - PARK MTC FACILITY MAINTENANCE,Expense,52 - BENEFITS,52714 - LICENSES AND CERTIFICATIONS, 	-   , 	-   , 	-   , 	281 
63 -  ECONOMIC DEVELOPMENT,63221 - EDD OBR ECON DEV BUSINESS ASST,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE, 	-   , 	-   , 	-   , 	283 
50 -  LIBRARY,50100752 - LIB PUBLIC SERVICE HAWTHORNE,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES, 	-   , 	-   , 	-   , 	285 
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Expense,53 - SUPPLIES,53130 - FURNITURE, 	-   , 	-   , 	-   , 	288 
65 -  PLANNING,65110 - PL NEIGHBORHOOD PLANNING,Expense,53 - SUPPLIES,53145 - SOFTWARE LICENSES & SUPPLIES, 	-   , 	-   , 	-   , 	288 
44 -  STREETS,44116 - ST TRANSFER STATION OTHER,Expense,54 - PURCHASED SERVICES,54220 - PEST CONTROL, 	-   , 	-   , 	-   , 	292 
30 -  FIRE,30110 - FIRE GEN FIELD OP,Expense,51 - SALARIES,51320 - OVERTIME WAGES HOURLY, 	-   , 	-   , 	-   , 	304 
16 -  HUMAN RESOURCES,16100 - HR SERVICES,Expense,54 - PURCHASED SERVICES,54230 - FACILITY RENTAL, 	-   , 	-   , 	-   , 	310 
31 -  POLICE,31125 - EAST,Expense,53 - SUPPLIES,53145 - SOFTWARE LICENSES & SUPPLIES, 	-   , 	-   , 	-   , 	311 
44 -  STREETS,44110 - ST REFUSE COLLECTION,Expense,54 - PURCHASED SERVICES,54535 - MEMBERSHIPS, 	-   , 	-   , 	-   , 	312 
50 -  LIBRARY,50100759 - LIB PUBLIC SERVICE SMB,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES, 	-   , 	-   , 	-   , 	329 
50 -  LIBRARY,50222755 - LIB COMM ENGAGE TEEN MEA,Expense,53 - SUPPLIES,53250 - FOOD AND BEVERAGE, 	-   , 	-   , 	-   , 	335 
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,54 - PURCHASED SERVICES,54880 - PERMITS AND LICENSES, 	-   , 	-   , 	-   , 	341 
50 -  LIBRARY,50400760 - LIB FAC SUPPORT CENTER BADGER,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT, 	-   , 	-   , 	-   , 	352 
45 -  TRAFFIC ENGINEERING,45200 - TE STLIGHT,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT, 	-   , 	-   , 	-   , 	368 
51 -  PARKS,51242 - PARK MTC WEST PARKS,Expense,53 - SUPPLIES,53310 - BUILDING, 	-   , 	-   , 	-   , 	380 
45 -  TRAFFIC ENGINEERING,45501 - TE SIGNALS ADMIN,Expense,53 - SUPPLIES,53315 - BUILDING SUPPLIES, 	-   , 	-   , 	-   , 	382 
51 -  PARKS,51147 - PARK RANGERS,Expense,53 - SUPPLIES,53130 - FURNITURE, 	-   , 	-   , 	-   , 	385 
62 -  COMMUNITY DEVELOPMENT,62448 - CHILD CARE SERVICES,Expense,54 - PURCHASED SERVICES,54515 - MILEAGE, 	-   , 	-   , 	-   , 	390 
30 -  FIRE,30110714 - FIRE GEN FIELD OP STATION 14,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES, 	-   , 	-   , 	-   , 	398 
65 -  PLANNING,65223 - PL TRANSPORTATION PLAN NON MPO,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES, 	-   , 	-   , 	-   , 	401 
10 -  ASSESSOR,10110 - ASSESSOR RESIDENTIAL,Expense,51 - SALARIES,51120 - PREMIUM PAY, 	-   , 	-   , 	-   , 	405 
50 -  LIBRARY,50100757 - LIB PUBLIC SERVICE PINNEY,Expense,54 - PURCHASED SERVICES,54650 - ADVERTISING SERVICES, 	-   , 	-   , 	-   , 	417 
65 -  PLANNING,65222 - PL COMP NEIGH SPEC AREA PLAN,Expense,53 - SUPPLIES,53145 - SOFTWARE LICENSES & SUPPLIES, 	-   , 	-   , 	-   , 	417 
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,53 - SUPPLIES,53130 - FURNITURE, 	-   , 	-   , 	-   , 	418 
44 -  STREETS,44334 - ST SNOW MISCELLANEOUS,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES, 	-   , 	-   , 	-   , 	430 
31 -  POLICE,31115 - MIDTOWN,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES, 	-   , 	-   , 	-   , 	443 
10 -  ASSESSOR,10150 - ASSESSOR BOARD OF REVIEW,Expense,54 - PURCHASED SERVICES,54688 - TRANSCRIPTION SERVICES, 	-   , 	-   , 	-   , 	473 
10 -  ASSESSOR,10140 - ASSESSOR TAX ROLL PREPARATION,Expense,54 - PURCHASED SERVICES,54688 - TRANSCRIPTION SERVICES, 	-   , 	-   , 	-   , 	481 
31 -  POLICE,31115 - MIDTOWN,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES, 	-   , 	-   , 	-   , 	485 
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Expense,53 - SUPPLIES,53330 - PLUMBING SUPPLIES, 	-   , 	-   , 	-   , 	490 
50 -  LIBRARY,50100756 - LIB PUBLIC SERVICE MONROE,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES, 	-   , 	-   , 	-   , 	512 
16 -  HUMAN RESOURCES,16200 - HR EMPLOYEE & LABOR RELATIONS,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES, 	-   , 	-   , 	-   , 	532 
40 -  ENGINEERING,40131 - ENG SIDEWALKS GENERAL,Expense,51 - SALARIES,51110 - PERMANENT WAGES, 	-   , 	-   , 	-   , 	550 
50 -  LIBRARY,50224758 - LIB COMM ENGAGE ALL AGES SEQ,Expense,53 - SUPPLIES,53155 - PROGRAM SUPPLIES, 	-   , 	-   , 	-   , 	552 
14 -  COMMON COUNCIL,14100 - COMMON COUNCIL,Expense,52 - BENEFITS,52711 - TUITION, 	-   , 	-   , 	-   , 	555 
30 -  FIRE,30110714 - FIRE GEN FIELD OP STATION 14,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES, 	-   , 	-   , 	-   , 	567 
51 -  PARKS,51242 - PARK MTC WEST PARKS,Expense,53 - SUPPLIES,53360 - TREES SHRUBS PLANTS, 	-   , 	-   , 	-   , 	577 
51 -  PARKS,51245 - PARK MTC CONSTRUCTION,Expense,53 - SUPPLIES,53130 - FURNITURE, 	-   , 	-   , 	-   , 	579 
40 -  ENGINEERING,40119 - ENG ADMIN STREET MAINTENANCE,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT, 	-   , 	-   , 	-   , 	579 
40 -  ENGINEERING,40128 - ENG STREETS BRIDGE INSPECTION,Expense,51 - SALARIES,51210 - HOURLY WAGES, 	-   , 	-   , 	-   , 	602 
10 -  ASSESSOR,10130 - ASSESSOR COMMERCIAL,Expense,51 - SALARIES,51120 - PREMIUM PAY, 	-   , 	-   , 	-   , 	619 
44 -  STREETS,44221 - ST LEAF COLLECTION,Expense,54 - PURCHASED SERVICES,54110 - NATURAL GAS, 	-   , 	-   , 	-   , 	627 
50 -  LIBRARY,50100758 - LIB PUBLIC SERVICE SEQUOYA,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES, 	-   , 	-   , 	-   , 	631 
50 -  LIBRARY,50222754 - LIB COMM ENGAGE TEEN LAKEVIEW,Expense,53 - SUPPLIES,53155 - PROGRAM SUPPLIES, 	-   , 	-   , 	-   , 	642 
16 -  HUMAN RESOURCES,16100 - HR SERVICES,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT, 	-   , 	-   , 	-   , 	642 
50 -  LIBRARY,50400760 - LIB FAC SUPPORT CENTER BADGER,Expense,53 - SUPPLIES,53330 - PLUMBING SUPPLIES, 	-   , 	-   , 	-   , 	685 
14 -  COMMON COUNCIL,14100610 - COMMON COUNCIL DIST 10,Expense,54 - PURCHASED SERVICES,54121 - CELLULAR TELEPHONE, 	-   , 	-   , 	-   , 	712 
50 -  LIBRARY,50100754 - LIB PUBLIC SERVICE LAKEVIEW,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES, 	-   , 	-   , 	-   , 	712 
45 -  TRAFFIC ENGINEERING,45503 - TE SIGNALS DESIGN,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT, 	-   , 	-   , 	-   , 	714 
45 -  TRAFFIC ENGINEERING,45200 - TE STLIGHT,Expense,54 - PURCHASED SERVICES,54113 - WATER, 	-   , 	-   , 	-   , 	766 
44 -  STREETS,44222 - ST DROP OFF SITES,Expense,54 - PURCHASED SERVICES,54655 - PRINTING SERVICES, 	-   , 	-   , 	-   , 	767 
50 -  LIBRARY,50224758 - LIB COMM ENGAGE ALL AGES SEQ,Expense,54 - PURCHASED SERVICES,54695 - PROGRAM SERVICES, 	-   , 	-   , 	-   , 	785 
51 -  PARKS,51245 - PARK MTC CONSTRUCTION,Expense,53 - SUPPLIES,53245 - UNIFORM CLOTHING SUPPLIES, 	-   , 	-   , 	-   , 	787 
62 -  COMMUNITY DEVELOPMENT,62472 - SENIOR CENTER FOUNDATION,Expense,54 - PURCHASED SERVICES,54689 - TRANSPORTATION SERVICES, 	-   , 	-   , 	-   , 	790 
31 -  POLICE,31294656 - MARSH COURT,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT, 	-   , 	-   , 	-   , 	802 
30 -  FIRE,30240 - FIRE GENERAL PREVENTION,Expense,53 - SUPPLIES,53235 - SAFETY SUPPLIES, 	-   , 	-   , 	-   , 	819 
44 -  STREETS,44301 - ST SNOW AND ICE ADMIN,Expense,54 - PURCHASED SERVICES,54650 - ADVERTISING SERVICES, 	-   , 	-   , 	-   , 	840 
50 -  LIBRARY,50100753 - LIB PUBLIC SERVICE ASHMAN,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES, 	-   , 	-   , 	-   , 	840 
45 -  TRAFFIC ENGINEERING,45303 - TE PAVE MARK DESIGN,Expense,51 - SALARIES,51210 - HOURLY WAGES, 	-   , 	-   , 	-   , 	856 
50 -  LIBRARY,50400760 - LIB FAC SUPPORT CENTER BADGER,Expense,54 - PURCHASED SERVICES,54540 - UNIFORM LAUNDRY, 	-   , 	-   , 	-   , 	865 
31 -  POLICE,31157 - CROSSING GUARDS,Expense,51 - SALARIES,51130 - WORKERS COMPENSATION WAGES, 	-   , 	-   , 	-   , 	881 
50 -  LIBRARY,50100755 - LIB PUBLIC SERVICE MEADOWRIDGE,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES, 	-   , 	-   , 	-   , 	971 
30 -  FIRE,30113 - FIRE HEAVY URBAN RESCUE TEAM,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT, 	-   , 	-   , 	-   ," 	1,005 "
40 -  ENGINEERING,40120 - ENG STREETS ADMIN,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS, 	-   , 	-   , 	-   ," 	1,052 "
50 -  LIBRARY,50100751 - LIB PUBLIC SERVICE CENTRAL,Expense,54 - PURCHASED SERVICES,54320 - COMMUNICATION DEVICE RPR MAIN, 	-   , 	-   , 	-   ," 	1,092 "
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Expense,53 - SUPPLIES,53320 - ELECTRICAL SUPPLIES, 	-   , 	-   , 	-   ," 	1,098 "
31 -  POLICE,31172 - INSERVICE,Expense,54 - PURCHASED SERVICES,54230 - FACILITY RENTAL, 	-   , 	-   , 	-   ," 	1,200 "
30 -  FIRE,30121 - FIRE MEDICAL PROGRAM STATE,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES, 	-   , 	-   , 	-   ," 	1,300 "
45 -  TRAFFIC ENGINEERING,45405 - TE COMM MAINTENANCE,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE, 	-   , 	-   , 	-   ," 	1,409 "
62 -  COMMUNITY DEVELOPMENT,62472 - SENIOR CENTER FOUNDATION,Expense,54 - PURCHASED SERVICES,54335 - SYSTEM AND SOFTWARE MAINTENANC, 	-   , 	-   , 	-   ," 	1,450 "
31 -  POLICE,31165 - TRAINING SERVICES GENERAL,Expense,54 - PURCHASED SERVICES,54335 - SYSTEM AND SOFTWARE MAINTENANC, 	-   , 	-   , 	-   ," 	1,599 "
44 -  STREETS,44221 - ST LEAF COLLECTION,Expense,54 - PURCHASED SERVICES,54113 - WATER, 	-   , 	-   , 	-   ," 	1,669 "
50 -  LIBRARY,50100752 - LIB PUBLIC SERVICE HAWTHORNE,Expense,54 - PURCHASED SERVICES,54320 - COMMUNICATION DEVICE RPR MAIN, 	-   , 	-   , 	-   ," 	1,734 "
40 -  ENGINEERING,40124 - ENG STREETS SURVEY,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT, 	-   , 	-   , 	-   ," 	1,759 "
50 -  LIBRARY,50100757 - LIB PUBLIC SERVICE PINNEY,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES, 	-   , 	-   , 	-   ," 	1,765 "
50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT, 	-   , 	-   , 	-   ," 	1,817 "
44 -  STREETS,44116 - ST TRANSFER STATION OTHER,Expense,54 - PURCHASED SERVICES,54246 - RESOURCE RECOVERY, 	-   , 	-   , 	-   ," 	1,835 "
51 -  PARKS,51210 - PARK MTC FOREST ADMIN,Expense,54 - PURCHASED SERVICES,54230 - FACILITY RENTAL, 	-   , 	-   , 	-   ," 	1,838 "
45 -  TRAFFIC ENGINEERING,45110 - TE SIGNING TRAFFIC CONTROL,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES, 	-   , 	-   , 	-   ," 	1,954 "
51 -  PARKS,51210 - PARK MTC FOREST ADMIN,Expense,54 - PURCHASED SERVICES,54684 - INVESTIGATIVE SERVICES, 	-   , 	-   , 	-   ," 	2,200 "
44 -  STREETS,44221 - ST LEAF COLLECTION,Expense,54 - PURCHASED SERVICES,54112 - ELECTRICITY, 	-   , 	-   , 	-   ," 	2,294 "
40 -  ENGINEERING,40119 - ENG ADMIN STREET MAINTENANCE,Expense,51 - SALARIES,51110 - PERMANENT WAGES, 	-   , 	-   , 	-   ," 	2,326 "
50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM, 	-   , 	-   , 	-   ," 	2,331 "
30 -  FIRE,30132 - FIRE APPLICANT HIRE AND TRAINI,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT, 	-   , 	-   , 	-   ," 	2,446 "
51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Expense,53 - SUPPLIES,53355 - LANDSCAPING SUPPLIES, 	-   , 	-   , 	-   ," 	2,646 "
63 -  ECONOMIC DEVELOPMENT,63330 - EDD RE ACQUISITIONS DISPOSALS,Expense,54 - PURCHASED SERVICES,54635 - STORAGE SERVICES, 	-   , 	-   , 	-   ," 	2,719 "
51 -  PARKS,51230 - PARK MTC FACILITY MAINTENANCE,Expense,54 - PURCHASED SERVICES,54335 - SYSTEM AND SOFTWARE MAINTENANC, 	-   , 	-   , 	-   ," 	2,735 "
16 -  HUMAN RESOURCES,16200 - HR EMPLOYEE & LABOR RELATIONS,Expense,52 - BENEFITS,52711 - TUITION, 	-   , 	-   , 	-   ," 	2,795 "
45 -  TRAFFIC ENGINEERING,45668 - TE SERVICES MUFN MAINTENANCE,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT, 	-   , 	-   , 	-   ," 	2,857 "
50 -  LIBRARY,50400760 - LIB FAC SUPPORT CENTER BADGER,Expense,54 - PURCHASED SERVICES,54110 - NATURAL GAS, 	-   , 	-   , 	-   ," 	2,893 "
62 -  COMMUNITY DEVELOPMENT,62551 - CD DIVISION 27 PRGM ADMIN,Expense,54 - PURCHASED SERVICES,54335 - SYSTEM AND SOFTWARE MAINTENANC, 	-   , 	-   , 	-   ," 	3,055 "
13 -  CLERK,13100 - CLERK,Expense,53 - SUPPLIES,53100 - PURCHASING CARD UNALLOCATED, 	-   , 	-   , 	-   ," 	3,213 "
30 -  FIRE,30115 - FIRE TACT EMER MED SER TEAM,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES, 	-   , 	-   , 	-   ," 	3,315 "
50 -  LIBRARY,50224757 - LIB COMM ENGAGE ALL AGES PIN,Expense,54 - PURCHASED SERVICES,54695 - PROGRAM SERVICES, 	-   , 	-   , 	-   ," 	3,700 "
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Expense,54 - PURCHASED SERVICES,54230 - FACILITY RENTAL, 	-   , 	-   , 	-   ," 	3,866 "
44 -  STREETS,44116 - ST TRANSFER STATION OTHER,Expense,54 - PURCHASED SERVICES,54215 - WASTE DISPOSAL, 	-   , 	-   , 	-   ," 	3,875 "
51 -  PARKS,51245 - PARK MTC CONSTRUCTION,Expense,54 - PURCHASED SERVICES,54350 - LEASE RENTAL OF EQUIPMENT, 	-   , 	-   , 	-   ," 	4,000 "
45 -  TRAFFIC ENGINEERING,45103 - TE SIGNING DESIGN,Expense,51 - SALARIES,51210 - HOURLY WAGES, 	-   , 	-   , 	-   ," 	4,107 "
31 -  POLICE,31115 - MIDTOWN,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES, 	-   , 	-   , 	-   ," 	4,706 "
44 -  STREETS,44223 - ST BRUSH COLLECTION,Expense,54 - PURCHASED SERVICES,54650 - ADVERTISING SERVICES, 	-   , 	-   , 	-   ," 	4,838 "
30 -  FIRE,30240 - FIRE GENERAL PREVENTION,Expense,51 - SALARIES,51210 - HOURLY WAGES, 	-   , 	-   , 	-   ," 	5,152 "
51 -  PARKS,51243 - PARK MTC CENTRAL PARKS,Expense,53 - SUPPLIES,53360 - TREES SHRUBS PLANTS, 	-   , 	-   , 	-   ," 	5,249 "
43 -  TRANSPORTATION,43100 - TRANSPORTATION MANAGEMENT,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM, 	-   , 	-   , 	-   ," 	5,266 "
30 -  FIRE,30110714 - FIRE GEN FIELD OP STATION 14,Expense,53 - SUPPLIES,53130 - FURNITURE, 	-   , 	-   , 	-   ," 	5,850 "
43 -  TRANSPORTATION,43100 - TRANSPORTATION MANAGEMENT,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS, 	-   , 	-   , 	-   ," 	5,929 "
45 -  TRAFFIC ENGINEERING,45800 - TE BICYCLE AND PEDESTRIAN SVCS,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE, 	-   , 	-   , 	-   ," 	6,682 "
62 -  COMMUNITY DEVELOPMENT,62111 - HOUSING SUPPLY GF,Expense,52 - BENEFITS,52110 - COMPENSATED ABSENCE ESCROW, 	-   , 	-   , 	-   ," 	7,448 "
30 -  FIRE,30110714 - FIRE GEN FIELD OP STATION 14,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES, 	-   , 	-   , 	-   ," 	8,365 "
14 -  COMMON COUNCIL,14100 - COMMON COUNCIL,Expense,52 - BENEFITS,52710 - MOVING EXPENSES, 	-   , 	-   , 	-   ," 	8,500 "
50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Expense,53 - SUPPLIES,53130 - FURNITURE, 	-   , 	-   , 	-   ," 	8,729 "
30 -  FIRE,30110714 - FIRE GEN FIELD OP STATION 14,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES, 	-   , 	-   , 	-   ," 	8,740 "
31 -  POLICE,31156 - PARKING,Expense,52 - BENEFITS,52110 - COMPENSATED ABSENCE ESCROW, 	-   , 	-   , 	-   ," 	9,134 "
44 -  STREETS,44221 - ST LEAF COLLECTION,Expense,54 - PURCHASED SERVICES,54650 - ADVERTISING SERVICES, 	-   , 	-   , 	-   ," 	9,256 "
