Incident,Date,Incident Type,Address,Updated
"Four Displaced After Unattended Pot of Oil Catches Fire","02/04/2018","Cooking","100 Block Georgiana Circle, Madison, WI",""
"Burnt Plastic Smell Traced To Furnace Issue","02/03/2018","Smoke Scare","Golden Maple Road, Madison, WI",""
"Driver Pulls Over, Puts Out Vehicle Fire Using Borrowed Extinguisher","02/01/2018","Vehicle","1800 Block S. Stoughton Road, Madison, WI",""
"Fire Displaces Two From East Side Condo","02/01/2018","Structure","6300 Block Maywick Drive, Madison, WI 53719","Updated: 02/06/2018"
"Occupants Detect Gas Leak In East Side Building","01/31/2018","Gas Leak","800 Block E. Johnson Street, Madison, WI 53703",""
"Station 2 Crew Revives Patient Suffering From Cardiac Arrest","01/27/2018","EMS","West Side, Madison, WI 53719",""
"Attic Fire Under Investigation","01/25/2018","Structure","Huron Hill, Madison, WI 53711","Updated: 01/31/2018"
"Overheated Motor Kicks Up Smoke Inside Allied Drive Apartment","01/25/2018","Appliance","2300 Block Allied Drive, Madison, WI",""
"Mac and Cheese Burns While Occupant Sleeps","01/24/2018","Excessive heat/scorch","400 Block W. Main Street, Madison, WI 53703",""
"Greater Harm Averted Thanks To Neighbor Who Reported Active Smoke Alarm","01/24/2018","Structure","100 Block S. Hamilton, Madison, WI 53703",""
"Thick Smoke Coming From Oven Uncovers Brats, Plastic Left Behind","01/23/2018","Cooking","2100 Block Lake Point Drive, Madison, WI",""
"Nobody Injured In Crash That Damaged Two Garage Doors","01/23/2018","Vehicle","2200 Block University Ave, Madison, WI",""
"HVAC Malfunction Prompts Pre-School Evacuation","01/22/2018","Smoke Scare","6500 Block Schroeder Road, Madison, WI",""
"Vehicle Strikes Area Home, Causes Significant Damage","01/19/2018","Vehicle","8300 Block Blackwolf Drive, Madison, WI",""
"Beltline Bus Fire Accidental; Cause Still Unknown","01/18/2018","Vehicle","US Highway 12 Eastbound & Park Street, Madison, WI",""
"Eastbound Beltline Lanes Closed Near Park Street Exit Due To Bus Fire","01/18/2018","Vehicle","US Highway 12 Eastbound & Park Street, Madison, WI","Updated: 01/18/2018"
"Owner Not Present, Driver Missing As Ladder 2 Puts Out Vehicle Fire","01/17/2018","Vehicle","S. Gammon Rd. & Seybold Rd, Madison, WI",""
"Firefighters Assist Woman Who Fell Shoveling The Sidewalk","01/16/2018","Assist Citizen","4400 Block Elgar Lane, Madison, WI",""
"Dryer Fire Displaces One","01/12/2018","Appliance","1900 Block Northport Drive, Madison, WI",""
"Fire Damages East Side Building; Cause Under Investigation","01/10/2018","Structure","4700 Block Helgesen Drive, Madison, WI",""
"Firefighters Respond To Small Chemical Spill On UW Campus","01/09/2018","Hazmat","1200 Block W. Dayton Street, Madison, WI 53706",""
"Grease Fire Causes Damage In Northside Kitchen","01/08/2018","Cooking","1400 Block Trailsway, Madison, WI",""
"Bystanders Alert Driver To Vehicle Fire And Help Put It Out","01/06/2018","Vehicle","Mohawk Drive & Nakoma Road, Madison, WI",""
"Car Crashes Through Garage Wall, Injuring One","01/06/2018","Vehicle","8500 Block Blackwolf Drive, Madison, WI",""
"Burned Cheese Believed To Be Cause of Smoke In West Side Apartment","01/05/2018","Cooking","1000 Block McKenna Blvd, Madison, WI 53719",""
"Cause Of Bread Basket Fire Unknown","01/04/2018","Structure","300 Block Lance Lane, Madison, WI 53703",""
"Homemade Meat Smoker Catches Fire, Damaging East Side Home","01/03/2018","Structure","5100 Block Starker Ave, Madison, WI 53703",""
"Crews Respond To Residential Water Leaks, Frozen Pipes","01/02/2018","Water Leak","Madison, WI",""
"Frozen Pipes Damage State Street Apartments and Business","01/01/2018","Water Leak","300 Block of State Street, Madison, WI 53703",""
"Neighbors Alert Homeowner To Fire Burning Outside","01/01/2018","Outdoor","2800 Block Commercial Ave, Madison, WI 53703",""
"Discarded Coals Start Outside Fire Between Two Homes","01/01/2018","Outdoor","University Ave. & Midvale Blvd, Madison, WI 53703",""
"Firefighters Reunite Locked-Out Grandma With Two-Year-Old Grandchild","12/28/2017","Lock out/Lock in","1800 Block Lynndale Rd, Madison, WI",""
"Frozen Pipes And Water Leaks Keep Fire Crews Busy","12/28/2017","Water Leak","Madison, WI",""
"Carbon Monoxide Alarm Sends Firefighters To West Side Condo","12/28/2017","Carbon Monoxide","6700 Block Park Edge Drive, Madison, WI 53711",""
"Eagle Mistaken For Stranded Dog On Lake Monona","12/27/2017","Animal rescue","10 Block John Nolen Drive, Madison, WI 53703",""
"Downtown Firefighters Discover Water Leak At State Street Business","12/27/2017","Water Leak","500 Block N. Frances Street, Madison, WI 53703",""
"Car Left Running Inside Garage Triggers Carbon Monoxide Alarm","12/26/2017","Carbon Monoxide","6800 Block Tottenham Road, Madison, WI",""
"Burst Pipe Sends Firefighters To Midland Street Residence","12/25/2017","Water Leak","800 Block Midland Street, Madison, WI",""
"Pressure Cooker Explodes, Causing Damage But No Injuries","12/23/2017","Cooking","1500 Block Troy Drive, Madison, WI",""
"Resident Escapes House Fire Without Injury","12/23/2017","Structure","1300 Block Dale Avenue, Madison, WI 53705","Updated: 12/28/2017"
"Smoke Fills Westside Apartment; Burnt Food To Blame","12/22/2017","Cooking","4500 Block Hammersley Road, Madison, WI",""
"Furnace Malfunction Sends Firefighters To West Side Home","12/21/2017","Electrical","6000 Block Landfall Drive, Madison, WI 53715",""
"Crews Respond To Fire At West Side Construction Site","12/18/2017","Outdoor","400 Block Commerce Drive, Madison, WI 53719",""
"Smoke Fills Downtown Apartment As Occupant Sleeps; No Working Smoke Alarms Found In Unit","12/18/2017","Cooking","100 Block N. Orchard Street, Madison, WI 53703",""
"Fire 'Erupts,' Injuring Person Repairing Clothes Dryer","12/17/2017","Appliance","400 Block N. Westfield Road, Madison, WI",""
"Man Rescued From Monona Bay After Falling Through the Ice","12/14/2017","Lake Rescue","Monona Bay, Madison, WI 53715",""
"Overloaded Wash Machine Sends Firefighters To West Side Apartment Building","12/13/2017","Smoke Scare","2600 Block University Ave, Madison, WI 53703",""
"Attic Fire Displaces Three On West Side","12/13/2017","Structure","Goldenrod Lane, Madison, WI 53719","Updated: 12/15/2017"
"Motor Overheats, Causing Smoke Scare In East Side Garage","12/13/2017","Smoke Scare","800 Block Williamson Street, Madison, WI 53703",""
"Crews Called To Hit-And-Run At East Side Business; Nobody Injured","12/11/2017","Vehicle","2100 Block Winnebago Street, Madison, WI 53715",""
"Oven Fire Sends Crews To North Side Home","12/10/2017","Structure","500 Block Dapin Road, Madison, WI 53714",""
"Firefighters Called To Downtown Apartment Building For Outdoor Fire","12/10/2017","Outdoor","500 Block East Main Street, Madison, WI 53703",""
"Single-Vehicle Crash Injures One","12/09/2017","Vehicle","Mineral Point Road, Madison, WI",""
"Fires Near North Star Park Under Investigation","12/08/2017","Outdoor","North Star Park, Madison, WI 53718",""
"Carbon Monoxide Leak Traced To Hidden Furnace","12/08/2017","Carbon Monoxide","East Bluff, Madison, WI 53703",""
"One Person Transported From Single-Vehicle Rollover Crash","12/07/2017","Vehicle","Sherman Avenue & Northport Drive, Madison, WI",""
"Cooking Fire Caught Early On East Side","12/06/2017","Cooking","700 Block Pulley Drive, Madison, WI",""
"Clothes Catch Fire at West Side Laundromat","12/05/2017","Excessive heat/scorch","2800 Block Todd Drive, Madison, WI",""
"Driver Extricated From Stolen Vehicle Following Crash","12/05/2017","Vehicle","S. Stoughton Road, Madison, WI 53719",""
"East Side Restaurant Temporarily Evacuated Due To Carbon Monoxide Leak","12/02/2017","Carbon Monoxide","900 Block Williamson Street, Madison, WI",""
"Dumpster Fires Threaten Downtown Construction Site","12/02/2017","Trash/Rubbish","200 Block W. Gilman Street, Madison, WI 53703",""
"Two Injured In Park Street Crash","12/02/2017","Vehicle","S. Park Street & W. Badger Road, Madison, WI",""
"Ladder 6 Discovers Vehicle Fire Along Beltline Highway","12/02/2017","Vehicle","Westbound U.S. Highway 12 & Fish Hatchery Road, Madison, WI",""
"Outdoor Fire Traced To Discarded Ashes","11/29/2017","Outdoor","Denton Place, Madison, WI 53711",""
"One Person Removed From Stalled Elevator","11/27/2017","Elevator","1600 Block Kronshage Drive, Madison, WI 53706",""
"Occupants Evacuate After Grease Fire Activiates Alarm","11/27/2017","Cooking","4200 Block Monona Drive, Madison, WI 53716",""
"Carbon Monoxide Alarm Catches Leak Inside Paunack Place Apartment","11/26/2017","Carbon Monoxide","400 Block Paunack Place, Madison, WI 53706",""
"Closed Lid Keeps Grease Fire Contained","11/24/2017","Cooking","Valor Way, Madison, WI 53703",""
"Chemical Combination Causes Symptoms, Displaces Occupant From East-Side Home","11/22/2017","Hazmat","Elmside Blvd, Madison, WI 53703",""
"Basement Fire Displaces Five","11/22/2017","Structure","2000 Block Frisch Road, Madison, WI","Updated: 12/04/2017"
"Overnight Vehicle Fire Under Investigation","11/20/2017","Vehicle","1600 Block Arkansas Ave, Madison, WI 53704",""
"Occupant Uses Bag Of Flour To Extinguish Living Room Fire","11/19/2017","Candle","7000 Block Tree Lane, Madison, WI",""
"Burned Food Prompts Evacuation From Downtown Building","11/17/2017","Cooking","200 Block S. Randall Ave, Madison, WI 53704",""
"Downtown Smoke Scare Traced To Blown Power Line","11/16/2017","Smoke Scare","600 Block Langdon Street, Madison, WI 53703",""
"Head-On Collision Injures Two","11/16/2017","Vehicle","100 Block East Gorham Street, Madison, WI 53703",""
"Sparks Seen At Witte Hall; Construction Activities The Cause","11/15/2017","Structure","600 Block W. Johnson Street, Madison, WI 53706",""
"Fire Displaces One From West-Side Duplex","11/14/2017","Structure","7800 Block Courtyard Drive, Madison, WI 53719","Updated: 11/15/2017"
"Engine 10 Extinguishes Furnace Fire","11/12/2017","Appliance","1900 Block Windom Way, Madison, WI 53714",""
"Two Taken to Hospital Following Carbon Monoxide Leak at Downtown Hotel","11/11/2017","Carbon Monoxide","500 Block W. Johnson Street, Madison, WI 53703",""
"Teacher, Custodian Extinguish Small Fire At Hawthorne Elementary","11/10/2017","Structure","3300 Block Concord Ave, Madison, WI 53703",""
"Sprinkler Contains Fire In Straubel Street Apartment","11/07/2017","Structure","3500 Block Straubel Street, Madison, WI 53705",""
"Occupant Falls Asleep With Eggs Boiling On Stovetop","11/07/2017","Cooking","1400 Block Trailsway, Madison, WI 53713",""
"Steam Mistaken For Smoke On Butler Street","11/06/2017","Smoke Scare","100 Block N. Butler St, Madison, WI 53703",""
"One Dog Dies, Second Survives In House Fire","11/05/2017","Structure","600 Block Wheeler Road, Madison, WI",""
"Three Displaced by House Fire","11/04/2017","Structure","4900 Block Hammersley Road, Madison, WI",""
"One Rescued, Transported Following Rollover Crash","11/04/2017","Vehicle","East Washington Avenue & Mendota Street, Madison, WI 53706",""
"Five Injured In Single-Vehicle Crash","11/03/2017","Vehicle","700 Block Meadowlark Drive, Madison, WI",""
"Two Crews Put A Stop To Large Vehicle Fire On I-90","11/03/2017","Vehicle","I-39/90 WB, Madison, WI 53703",""
"Firefighters Extinguish Unapproved Backyard Fire","11/01/2017","Unauthorized Burning","1300 Block N. Sherman Ave, Madison, WI",""
"Neighbor Smells Something Burning In Nearby Apartment, One Taken to Detox","10/31/2017","Cooking","200 Block Langdon Street, Madison, WI 53703",""
"Hazardous Incident Team Handles Spill","10/31/2017","Hazmat","1600 Block University Ave, Madison, WI",""
"Smoking Materials Found Near the Scenes of Two Overnight Fires","10/30/2017","Structure","East Side, Madison, WI 53703",""
"Man Returns From Store, Finds His Car On Fire","10/30/2017","Vehicle","2200 Block S. Stoughton Road, Madison, WI",""
"Snipped Live Wire Sparks Small Fire Inside A Wall","10/30/2017","Electrical","2900 Block Turbot Drive, Madison, WI",""
"Fire Breaks Out In Laboratory Hood System","10/29/2017","Chimney","3300 Block Kinsman Blvd, Madison, WI","Updated: 10/30/2017"
""
"Coals Tossed Out Too Soon Ignite Small Fire On Gammon Lane","10/29/2017","Trash/Rubbish","1100 Block Gammon Lane, Madison, WI",""
"Vera Court Dumpster Fire Results In Minor Building Damage","10/28/2017","Trash/Rubbish","800 Block Vera Court, Madison, WI",""
"Curtains Catch Fire in Apartment","10/21/2017","Structure","1000 Block E. Washington Ave, Madison, WI 53703",""
"Fire at East Johnson Street Home During Rush Hour","10/20/2017","Structure","500 Block East Johnson Street, Madison, WI 53703",""
"Natural Gas Odor","10/19/2017","Odor Investigation","5700 Block Odana Road, Madison, WI",""
"Tree Takes Down Power Line on Regent Street","10/18/2017","Power lines down","1900 Block Regent Street, Madison, WI",""
"Outdoor Fire Traced To Unattended Ashtray","10/18/2017","Trash/Rubbish","5200 Block Trafalger Pl, Madison, WI",""
"Discarded Cigarettes Found Near Site of Deck Fire","10/17/2017","Outdoor","9400 Block Old Sauk Road, Madison, WI",""
"Small Porch Fire Discovered, Extinguished Early","10/17/2017","Outdoor","3100 Block Hermina Street, Madison, WI",""
"Engine 1 Responds To Grease Fire Downtown","10/15/2017","Cooking","400 Block W. Gorham Street, Madison, WI 53703",""
"Unattended Candle Causes Smoke Scare","10/13/2017","Candle","5100 Block Brookside Drive, Madison, WI",""
"Firefighters Respond To Accidental Natural Gas Leak","10/12/2017","Gas Leak","700 Block Ruskin Street, Madison, WI",""
"Gas-Powered Appliances Kick Up Carbon Monoxide On Park Street","10/12/2017","Carbon Monoxide","60 Block N. Park Street, Madison, WI",""
"Hazmat Team Called To Recycling Center In Waunakee","10/11/2017","Hazmat","300 Block Raemisch Road, Waunakee, WI",""
"Carbon Monoxide Detector Triggered By Boiling Cauliflower","10/11/2017","Carbon Monoxide","20 Block Sherman Terrace, Madison, WI",""
"Crash Injures One, Takes Out Tree and Fire Hydrant","10/11/2017","Vehicle","4000 Block Savannah Road & Millpond Road, Madison, WI",""
"Smoldering Clothes Send Firefighters To East Side Laundromat","10/09/2017","Appliance","3500 Block East Washington, Madison, WI",""
"Firefighters Respond To Water Heater Malfunction","10/09/2017","Water Leak","500 Block S. Mills Street, Madison, WI",""
"Occupant Asleep At Kitchen Table As Food Burns On Stovetop","10/08/2017","Cooking","200 Block S. Broom Street, Madison, WI 53703",""
"Cyclist Injured On State Street","10/08/2017","Assist Citizen","400 Block State Street, Madison, WI",""
"MFD Assessing Tornado Damage Along East Washington Avenue","10/07/2017","Power lines down","East Washington Ave, Madison, WI","Updated: 10/08/2017"
"Two Injured In Three-Vehicle Beltline Crash","10/06/2017","Vehicle","US Highway 12 Eastbound & John Nolen Drive, Madison, WI",""
"Charcoal Grill On Balcony Poses Fire Hazard","10/05/2017","Cooking","1500 Block Trailsway, Madison, WI",""
"Chemical Reaction At West Side Lab Prompts Evacuation, Injures One","10/05/2017","Hazmat","600 Block Science Drive, Madison, WI",""
"Candle Believed To Be Source Of Sauna Fire","10/03/2017","Structure","200 Block Merry Street, Madison, WI",""
"Discarded Smoking Materials Ignite Deck Fire","10/03/2017","Structure","4600 Block Treichel Street, Madison, WI",""
"Kitchen Fire Displaces Occupant On Luann Lane","10/01/2017","Structure","2200 Block Luann Lane, Madison, WI",""
"Discarded Charcoal Reignites, Damaging Backyard Fence","09/30/2017","Outdoor","1700 Block Van Hise, Madison, WI 53706",""
"Occupants Put Out Kitchen Fire In Northside Apartment","09/30/2017","Excessive heat/scorch","1500 Block Troy Drive, Madison, WI 53706",""
"Fire Damages Studio Space On Stewart Street","09/29/2017","Structure","800 Block Stewart Street, Madison, WI 53713",""
"Unattended Cooking Sends Firefighters to West- and North-side Apartments","09/28/2017","Cooking","500 Block N. Franklin Ave, 2400 block Monterey Drive, Madison, WI 53703",""
"Firefighters Respond To Shed Fire; Person Turns Himself In","09/28/2017","Structure","4600 Block Cottage Grove Road, Madison, WI",""
"Firefighters Contain Diesel Leak On Interstate Highway","09/27/2017","Vehicle","I-90 EB, Madison, WI",""
"Fire Damages Kitchen, Bathroom At Mallards Concession Stand","09/24/2017","Cooking","2900 Block N. Sherman Ave, Madison, WI",""
"Garbage Fire Extends To Home and Attic; Nobody Injured Or Displaced","09/24/2017","Trash/Rubbish","4400 Block Tokay Blvd, Madison, WI",""
"Motor Home Catches Fire Along Interstate; No Injuries","09/22/2017","Vehicle","I-90 WB & USH 151 SB, Madison, WI",""
"Cooking Fire Causes Damage In West Side Apartment","09/22/2017","Cooking","4900 Block Whitcomb Drive, Madison, WI",""
"One Injured, Building Compromised In East Side Explosion","09/20/2017","Structure","50 Block Corry Street, Madison, WI 53704",""
"Discarded Cigarette Believed To Be the Cause Of Small Curbside Fire","09/20/2017","Outdoor","Northport Drive & N. Sherman Avenue, Madison, WI",""
"Fire Displaces Family On S Marquette St","09/19/2017","Structure","100 Block S Marquette St, Madison, WI","Updated: 10/04/2017"
""
"Unauthorized Campfire Extinguished Along Lakeshore Path","09/19/2017","Outdoor","Lakeshore Path, Madison, WI 53706",""
"Vehicle Fire Damages Two Homes On Hoard Street","09/15/2017","Vehicle","2800 Block Hoard Street, Madison, WI",""
"Lint Buildup In Dryer Vent Causes Small Fire On East Side","09/13/2017","Appliance","Gem Court, Madison, WI 53705",""
"Search and Overhaul Underway At Scene of House Explosion","09/13/2017","Structure","7800 Block Stratton Way, Madison, WI",""
"Stratton Way Explosion Declared Intentional","09/13/2017","Explosion","7800 Block Stratton Way, Madison, WI",""
"Fire Displaces Occupants From East Side Duplex","09/12/2017","Structure","6600 Block Radford Drive, Madison, WI",""
"Firefighters Free Dog Trapped In Hay Wagon","09/09/2017","Assist Citizen","6100 Block Milwaukee Street, Madison, WI",""
"Small Vehicle Fire Caught Early","09/08/2017","Vehicle","4300 Block Mohawk Drive, Madison, WI",""
"Small Fire Damages Dehumidifier, Other Items, In West Side Basement","09/08/2017","Structure","6200 Block Thornebury Drive, Madison, WI",""
"Vehicle Damaged By Fire On Packers Avenue","09/07/2017","Vehicle","2000 Block Packers Ave, Madison, WI",""
"Noxious Odor Traced To Corroded Paint Can at West Side Complex","09/06/2017","Odor Investigation","600 Block N. Pleasant View Road, Madison, WI 53713",""
"Oil Ignites, Causing Minor Kitchen Damage","09/06/2017","Cooking","3700 Block Portage Road, Madison, WI 53704",""
"Sherman Avenue Church Fire Under Investigation","09/06/2017","Structure","2100 Block N. Sherman Ave, Madison, WI",""
"Burned Food Prompts Alarm At UW-Madison Dorm","09/06/2017","Cooking","1900 Block Willow Drive, Madison, WI 53706",""
"Fire Damages Two Vehicles In Ho-Chunk Parking Lot","09/04/2017","Vehicle","4000 Block Evan Acres Road, Madison, WI 53711",""
"Active Stove Top Brings Firefighters To East Side Restaurant","09/02/2017","Smoke Scare","1200 Block Williamson Street, Madison, WI 53705",""
"Smoke Investigation Uncovers Dumpster Fire Behind Hill Farms Property","09/01/2017","Trash/Rubbish","4600 Block University Ave, Madison, WI 53705",""
"Toasted Taco Shell Causes Minor Smoke Damage In Eagle Heights","09/01/2017","Cooking","200 Block Eagle Heights Drive, Madison, WI",""
"School Evacuated Because Of Gas Odor","08/31/2017","Fuel Spill","200 Block Schenk Street, Madison, WI",""
"Two Injured In Whitney Way Crash","08/30/2017","Vehicle","N. Whitney Way & Langlois Street, Madison, WI",""
"Woman Uses Flour To Put Out Small Cooking Fire","08/28/2017","Cooking","10 Block S. Gammon Road, Madison, WI 53711",""
"Discarded Cigarettes Start Deck Fire On West Side","08/28/2017","Smoking","Millstone Road, Madison, WI",""
"Fire Damages SUV in Walmart Parking Lot","08/26/2017","Vehicle","4100 Block Nakoosa Trail, Madison, WI 53706",""
"Firefighters Find Sleeping Occupant, Burned Food Inside Northside Apartment","08/26/2017","Cooking","Monterey Drive, Madison, WI 53704",""
"Unattended Cooking Brings Firefighters To Downtown Complex","08/26/2017","Cooking","700 Block Braxton Place, Madison, WI 53703",""
"Vehicle Crashes Into Local Laundromat","08/25/2017","Vehicle","4600 Block Verona Road, Madison, WI 53703",""
"Vehicle Fire On West Beltline","08/24/2017","Vehicle","U.S. Highway 12 & Whitney Way, Madison, WI",""
"Kitchen Fire Breaks Out At West-Side Denny's","08/24/2017","Cooking","400 Block S. Gammon Road, Madison, WI",""
"One Taken To Hospital After Cooking Fire On West Side","08/23/2017","Cooking","1100 Block High Point Road, Madison, WI 53703",""
"Engine 13 Extinguishes Grass Fires Along Commercial Avenue","08/22/2017","Outdoor","6700 Block Commercial Ave, Madison, WI 53703",""
"Sunlight Reflecting Off Mirror Starts Small Fire In Northside Home","08/22/2017","Structure","Texas Trail, Madison, WI 53706",""
"Gas Leak Causes Evacuation on West Side","08/21/2017","Gas Leak","4300 Block Crawford Dr, Madison, WI 53711",""
"Vehicle Fire Under Investigation","08/20/2017","Vehicle","700 Block S. Gammon Lane, Madison, WI",""
"Malfunctioning Exhaust Fan Causes Smoke Scare on East Side","08/19/2017","Smoke Scare","2300 Block E. Johnson Street, Madison, WI",""
"Three Displaced By Overnight Fire","08/19/2017","Structure","6200 Block Hammersley Rd, Madison, WI",""
"Oven Left On Inside Vacant Apartment Causes Minor Damage","08/17/2017","Structure","500 Block W. Doty St, Madison, WI 53703",""
"Electrical Problems Send Firefighters To UW Boathouse","08/16/2017","Electrical","600 Block Babcock Drive, Madison, WI 53706",""
"Fire Damages Dryer In East Side Residence","08/15/2017","Appliance","100 Block N. First Street, Madison, WI 53703",""
"Broiler Mistaken For Drawer Spells Trouble for Kitchen Towels","08/14/2017","Cooking","100 Block E. Gilman Street, Madison, WI 53703",""
"Abandoned Fire Pit Puts Apartment Complex At Risk","08/14/2017","Outdoor","1400 Block Trailsway, Madison, WI",""
"Self-Cleaning Oven Activates Smoke Detector In East Side Apartment","08/13/2017","Excessive heat/scorch","1900 Block East Washington Ave, Madison, WI",""
"Campfire Inside Canoe Prompts Response From Lake Rescue Team","08/11/2017","Outdoor","Lake Monona, Madison, WI 53703",""
"Man Transported To Hospital With Hand Trapped In Mechanical Equipment","08/11/2017","Special Rescue","1300 Block East Washington Ave, Madison, WI 53703",""
"Occupants Displaced From 30 Unit Apartment Building","08/11/2017","Structure","2200 Block Carling Drive, Madison, WI 53711","Updated: 08/14/2017"
"Gas Leak Caused By Landscape Work On West Side","08/10/2017","Gas Leak","8300 Block Old Sauk Road, Madison, WI 53562",""
"Smoke Detector Alerts Sleeping Woman To Fire In Her Bed","08/09/2017","Candle","600 Block N. Frances Street, Madison, WI 53703",""
"Station 8 Rescues Woman Pinned Under SUV","08/07/2017","Special Rescue","Bultman Road, Madison, WI 53704",""
"EMTs Cut Plastic Bottle From Toddler's Finger","08/07/2017","Assist Citizen","Northport Drive, Madison, WI 53704",""
"Intentional Fire On North Side Under Investigation","08/06/2017","Outdoor","1900 Block Elka Lane, Madison, WI 53704",""
"Unattended Grill Sparks Patio Fire at Southwest-Side Complex","08/06/2017","Structure","6700 Block Pinelake Drive, Madison, WI 53703",""
"Grease Fire Damages S. Park Street Kitchen","08/05/2017","Cooking","2300 Block S. Park Street, Madison, WI",""
"Torch Torches Back Of Van; Driver Uninjured","08/04/2017","Vehicle","1400 Block MacArthur Road, Madison, WI 53713",""
"Gas Leak Prompts Brief Evacuation on Latham Drive","08/04/2017","Gas Leak","3300 Block Latham Drive, Madison, WI 53704",""
"Fire Uncovers Flaws In Gas Grill On Southeast Side","08/03/2017","Cooking","6200 Block Eagle Cave Drive, Madison, WI 53558",""
"Two Freed From Stalled Hospital Elevator","08/03/2017","Elevator","200 Block S. Park Street, Madison, WI 53703",""
"One Injured In Campus Chemical Spill","07/31/2017","Hazmat","1600 Block Observatory Drive, Madison, WI 53706",""
"Firefighters Extinguish Fire on Construction Site","07/28/2017","Outdoor","McKee Road, High Point Road, Madison, WI 53711",""
"Early Morning Apartment Fire Displaces One Person","07/28/2017","Structure","1000 Block West Badger Road, Madison, WI 53713","Updated: 07/31/2017"
"Car Fire Near Garage Causes $15,000 in Damage","07/27/2017","Vehicle","2900 Block Maple Run Dr, Madison, WI 53719","Updated: 07/31/2017"
"Garage Fire Causes $150,000 in Damage","07/25/2017","Structure","900 Block Inwood Way, Madison, WI 53714","Updated: 07/31/2017"
""
"Burning Blanket Causes Evacuation of 4-Unit Apartment","07/25/2017","Structure","1200 Block E. Dayton St, Madison, WI 53703",""
"1 Injured in Car vs. Dump Truck Crash","07/24/2017","Vehicle","Madison, WI",""
"Stove Source of CO Alarm Activiation","07/23/2017","Carbon Monoxide","3100 Block Hermina Street, Madison, WI 53714",""
"Crews Respond To Vehicle Fire Near John Nolen Drive","07/23/2017","Vehicle","John Nolen Drive, Lakeside Street, Madison, WI 53715",""
"Madison Fire Department HIT Assists Belleville Fire Department","07/22/2017","Hazmat","400 Block River Street, Belleville, WI 53508",""
"Firefighters Dispatched to a Swift Water Rescue","07/21/2017","Lake Rescue","5700 Block FORSYTHIA Place, Madison, WI",""
"Car Hits Building on Karstens Drive","07/21/2017","Vehicle","3700 Block E. Kartens Drive, Madison, WI 53704",""
"Working Detectors Lead Firefighters Toward Grill Inside Garage","07/20/2017","Carbon Monoxide","1800 Block Kendall Ave, Madison, WI",""
"Power Line Lands On Metro Bus; Occupants Shelter In Place","07/19/2017","Electrical","600 Block East Gorham Street, Madison, WI 53703",""
"Engine 7 Helps Locked-Out Mom","07/19/2017","Lock out/Lock in","Glacier Ridge neighborhood, Madison, WI",""
"Downtown Traffic Diverted Due To Gas Leak On Campus","07/17/2017","Gas Leak","800 Block W. Johnson Street, Madison, WI 53706","Updated: 07/17/2017"
"U-Haul Truck Gets Wedged In Garage Door, Tears Off Sprinkler Head","07/15/2017","Water Leak","700 Block Glenway Street, Madison, WI 53711",""
"Smoking Materials Spark Mattress Fire On East Side","07/14/2017","Smoking","Powers Ave, Madison, WI 53714",""
"UW Health West Clinic Evacuated After Dozens Fall Ill","07/14/2017","Hazmat","400 Block Junction Road, Madison, WI",""
"Toilet Paper Left Too Close To Candle Results In Small Fire","07/14/2017","Structure","Junction Court, Madison, WI",""
"Significant Water Leak Renders Two Stratton Way Condos Uninhabitable","07/13/2017","Water Leak","3000 Block Stratton Way, Madison, WI",""
"Crash At East Washington & Baldwin Injures Six","07/13/2017","Vehicle","E. Washington Ave. & Baldwin St, Madison, WI 53703",""
"Smoke In Straubel Court Apartment Traced To Unattended Broiler","07/13/2017","Cooking","10 Block Straubel Court, Madison, WI 53706",""
"Balloons Caught In Power Lines Cause Brief Road Closure Near Beltline","07/12/2017","Electrical","W. Beltline Frontage Road & Grandview Blvd, Madison, WI 53719",""
"One Transported To Hospital Following Head-On Collision","07/11/2017","Vehicle","S. Gammon Road & U.S. Highway 12, Madison, WI 53719",""
"Gas Leak Caught Early Near Bay View Landscaping Project","07/11/2017","Gas Leak","600 Block Bay View, Madison, WI",""
"Firefighters Help Woman and Child Locked Inside Apartment","07/10/2017","Lock out/Lock in","Raymond Road, Madison, WI 53709",""
"No Injuries In Car vs. Bicycle Collision","07/10/2017","Vehicle","S. Fair Oaks Ave. & Emmet St, Madison, WI",""
"Firefighters Contain Fuel Leak On Homberg Lane","07/10/2017","Fuel Spill","1600 Block Homberg Lane, Madison, WI",""
"One Taken To Hospital After Street Sweeper Tips Over On Stoughton Road","07/10/2017","Vehicle","S. Stoughton Road & Buckeye Road, Madison, WI 53716",""
"Crews Respond To Flash Floods Throughout West Side","07/10/2017","Assist Citizen","West Side, Madison, WI",""
"Automatic Sprinkler Snuffs Dumpster Fire At East-Side Complex","07/09/2017","Trash/Rubbish","1600 Block Fordem Ave, Madison, WI 53703",""
"Garbage Truck Strikes Power Lines, Prompts Evacuations","07/08/2017","Vehicle","200 Block Nautilus Drive, Madison, WI 53705",""
"Ladder 1 Locates Gas Leak On West Main Street","07/08/2017","Gas Leak","500 Block W. Main Street, Madison, WI 53703",""
"Fallen Tree Crashes Through Roof of East-Side Home","07/06/2017","Structure","800 Block Woodlawn Drive, Madison, WI",""
"Storms Cause Electrical Hazards, Power Outages On East Side","07/06/2017","Power lines down","East Side, Madison, WI",""
